개수,위도,경도,상세
1,37.5652432 ,127.0133851 ,지구대
1,37.5521483 ,127.0123832 ,지구대
1,37.5650079 ,127.0163825 ,파출소
1,37.5588159 ,127.0048761 ,파출소
1,37.5608522 ,126.9915765 ,파출소
1,37.5661811 ,126.9928486 ,파출소
1,37.5720451 ,126.9988518 ,경찰서
1,37.5861068 ,127.0014054 ,파출소
1,37.5785962 ,127.0060393 ,파출소
1,37.5892964 ,126.9976135 ,파출소
1,37.5784788 ,127.0136459 ,파출소
1,37.5726524 ,127.0170718 ,파출소
1,37.5759995 ,127.0105240 ,파출소
1,37.5707326 ,127.0016342 ,파출소
1,37.5729461 ,127.0048693 ,파출소
